t y1 y2 y3 y4 y5 y6 y7 y8 y9
29279.279279279282 0.15997 0.23379 0.23711 0.23769 0.23788 0.23797 0.23801 0.23804 0.23805
29529.529529529533 0.16326 0.23411 0.23718 0.23773 0.2379 0.23798 0.23802 0.23804 0.23806
29779.779779779783 0.16651 0.23441 0.23725 0.23775 0.23792 0.23799 0.23802 0.23805 0.23806
30030.030030030033 0.16973 0.23468 0.23732 0.23778 0.23793 0.238 0.23803 0.23805 0.23806
30280.280280280283 0.17289 0.23494 0.23738 0.2378 0.23794 0.238 0.23804 0.23805 0.23807
30530.530530530534 0.17599 0.23518 0.23743 0.23783 0.23795 0.23801 0.23804 0.23806 0.23807
30780.780780780784 0.17903 0.2354 0.23748 0.23785 0.23797 0.23802 0.23804 0.23806 0.23807
31031.031031031034 0.18199 0.2356 0.23753 0.23787 0.23798 0.23802 0.23805 0.23806 0.23807
31281.281281281284 0.18488 0.23579 0.23757 0.23788 0.23799 0.23803 0.23805 0.23807 0.23808
31531.531531531535 0.18769 0.23596 0.23761 0.2379 0.23799 0.23803 0.23806 0.23807 0.23808
31781.781781781785 0.19041 0.23612 0.23765 0.23792 0.238 0.23804 0.23806 0.23807 0.23808
32032.032032032035 0.19304 0.23627 0.23769 0.23793 0.23801 0.23804 0.23806 0.23807 0.23808
32282.282282282285 0.19557 0.23641 0.23772 0.23794 0.23802 0.23805 0.23807 0.23808 0.23808
32532.532532532536 0.19801 0.23654 0.23775 0.23796 0.23802 0.23805 0.23807 0.23808 0.23808
32782.782782782786 0.20036 0.23666 0.23777 0.23797 0.23803 0.23806 0.23807 0.23808 0.23808
33033.03303303303 0.2026 0.23677 0.2378 0.23798 0.23803 0.23806 0.23807 0.23808 0.23809
33283.28328328329 0.20475 0.23687 0.23782 0.23799 0.23804 0.23806 0.23807 0.23808 0.23809
33533.53353353353 0.2068 0.23696 0.23784 0.23799 0.23804 0.23807 0.23808 0.23808 0.23809
33783.78378378379 0.20875 0.23705 0.23786 0.238 0.23805 0.23807 0.23808 0.23808 0.23809
34034.03403403403 0.21061 0.23713 0.23788 0.23801 0.23805 0.23807 0.23808 0.23809 0.23809
34284.28428428429 0.21237 0.2372 0.2379 0.23802 0.23806 0.23807 0.23808 0.23809 0.23809
34534.534534534534 0.21404 0.23727 0.23791 0.23802 0.23806 0.23807 0.23808 0.23809 0.23809
34784.78478478479 0.21562 0.23733 0.23793 0.23803 0.23806 0.23808 0.23808 0.23809 0.23809
35035.035035035035 0.21711 0.23739 0.23794 0.23803 0.23806 0.23808 0.23809 0.23809 0.23809
35285.28528528529 0.21852 0.23745 0.23795 0.23804 0.23807 0.23808 0.23809 0.23809 0.23809
35535.535535535535 0.21984 0.2375 0.23796 0.23804 0.23807 0.23808 0.23809 0.23809 0.23809
35785.78578578579 0.22109 0.23754 0.23797 0.23805 0.23807 0.23808 0.23809 0.23809 0.23809
36036.036036036036 0.22226 0.23758 0.23798 0.23805 0.23807 0.23808 0.23809 0.23809 0.23809
36286.28628628629 0.22336 0.23762 0.23799 0.23806 0.23808 0.23809 0.23809 0.23809 0.23809
36536.536536536536 0.22438 0.23766 0.238 0.23806 0.23808 0.23809 0.23809 0.23809 0.23809
36786.78678678679 0.22535 0.23769 0.23801 0.23806 0.23808 0.23809 0.23809 0.23809 0.2381
37037.03703703704 0.22625 0.23772 0.23801 0.23806 0.23808 0.23809 0.23809 0.23809 0.2381
37287.28728728729 0.22709 0.23775 0.23802 0.23807 0.23808 0.23809 0.23809 0.23809 0.2381
37537.53753753754 0.22788 0.23778 0.23803 0.23807 0.23808 0.23809 0.23809 0.23809 0.2381
37787.78778778779 0.22861 0.2378 0.23803 0.23807 0.23808 0.23809 0.23809 0.2381 0.2381
38038.03803803804 0.2293 0.23783 0.23804 0.23807 0.23809 0.23809 0.23809 0.2381 0.2381
38288.28828828829 0.22994 0.23785 0.23804 0.23808 0.23809 0.23809 0.23809 0.2381 0.2381
38538.53853853854 0.23053 0.23787 0.23805 0.23808 0.23809 0.23809 0.23809 0.2381 0.2381
38788.78878878879 0.23108 0.23788 0.23805 0.23808 0.23809 0.23809 0.2381 0.2381 0.2381
39039.03903903904 0.2316 0.2379 0.23805 0.23808 0.23809 0.23809 0.2381 0.2381 0.2381
39289.28928928929 0.23208 0.23792 0.23806 0.23808 0.23809 0.23809 0.2381 0.2381 0.2381
39539.53953953954 0.23252 0.23793 0.23806 0.23808 0.23809 0.23809 0.2381 0.2381 0.2381
39789.78978978979 0.23293 0.23794 0.23806 0.23809 0.23809 0.23809 0.2381 0.2381 0.2381
40040.04004004004 0.23332 0.23795 0.23807 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381
40290.29029029029 0.23367 0.23797 0.23807 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381
40540.54054054054 0.234 0.23798 0.23807 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381
40790.790790790794 0.23431 0.23799 0.23807 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381
41041.04104104104 0.23459 0.23799 0.23808 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381
41291.291291291294 0.23485 0.238 0.23808 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381
41541.54154154154 0.2351 0.23801 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
41791.791791791795 0.23532 0.23802 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
42042.04204204204 0.23553 0.23802 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
42292.292292292295 0.23573 0.23803 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
42542.54254254254 0.2359 0.23803 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
42792.792792792796 0.23607 0.23804 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
43043.04304304305 0.23622 0.23804 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
43293.293293293296 0.23637 0.23805 0.23809 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381
43543.54354354355 0.2365 0.23805 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
43793.7937937938 0.23662 0.23806 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
44044.04404404405 0.23673 0.23806 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
44294.2942942943 0.23683 0.23806 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
44544.54454454455 0.23693 0.23806 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
44794.7947947948 0.23702 0.23807 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
45045.04504504505 0.2371 0.23807 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
45295.2952952953 0.23718 0.23807 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
45545.54554554555 0.23725 0.23807 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
45795.7957957958 0.23731 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
46046.04604604605 0.23737 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
46296.2962962963 0.23743 0.23808 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
46546.54654654655 0.23748 0.23808 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
46796.7967967968 0.23753 0.23808 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
47047.047047047054 0.23757 0.23808 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
47297.2972972973 0.23761 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
47547.547547547554 0.23765 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
47797.7977977978 0.23768 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
48048.048048048055 0.23771 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
48298.2982982983 0.23774 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
48548.548548548555 0.23777 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
48798.7987987988 0.2378 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
49049.049049049056 0.23782 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
49299.2992992993 0.23784 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
49549.549549549556 0.23786 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
49799.7997997998 0.23788 0.23809 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381 0.2381
